"Timestamp","Programme of Study","Faculty of Your study"," Name of the Department ","Semester of Study","Residence","Gender","Category","Academic [Content of Syllabi of the courses]","Academic [Experience with extend and delivery of syllabus covered in the class]","Academic [Use  of teaching aids and ICT in the class to facilitate teaching ]","Academic [Experience with Internal assessement]","Academic [Student Teacher Interaction]","Academic [Use of non-traditional methods of evaluation like quiz, assignments, seminar, presentation etc.]","Academic [Integration of theory and practical classes]","Academic [Stimulation for innovative thinking]","Academic [Overall Learning experience]","Academic [Condition of Lab Equipment ]","Academic [Availability of Online resources]","Academic [Research facilities in the Department for research projects/M.Phil./Ph.D.]","Academic [Opportunity to participate in seminar/workshop/conference]","Academic [Experience with research guidance]","Academic [Participation in cio-academic and cultural events]","Infrastructure [Class room Facilities ( LCD/Audio/Computer etc.)]","Infrastructure [Food Outlets/Canteens]","Infrastructure [Libraryu Reading Room Facility]","Infrastructure [Library digital resources and reading material support]","Infrastructure [Internet Facility]","Infrastructure [University Website]","Infrastructure [Department Website]","Infrastructure [Sports facilities]","Infrastructure [Hostel Facility]","Infrastructure [Drinking Water Facility]","Infrastructure [Washroom Facilities]","Support System [Experience of the admission process to the programme you have enrolled in]","Support System [Help received by Orientation programme of the Department]","Support System [Experience with University's Administrative Staff]","Support System [Experience with Department's Administrative Staff]","Support System [Experience with Announcement of result]","Support System [Experience with Availability of Marksheet]","Support System [Experience with evaluation process ]","Support System [Provision of transport facility]","Support System [Availability of healthcare facility]","Support System [Functioning of Placement Cell of the University]","Support System [Functioning of Placement Cell of the Department]","Skills developed during course of study [Analytical Skills]","Skills developed during course of study [Team work/Collaboration Skills]","Skills developed during course of study [Entrepreneurial/Job Skills]","Skills developed during course of study [Clarity of Career Perspective]","Skills developed during course of study [IT Skills]","Skills developed during course of study [Communication Skills]","Skills developed during course of study [Time Management]","Skills developed during course of study [Problem Siolving Skills]","Skills developed during course of study [Leadership Qualities]","Skills developed during course of study [Critical Thinking]","Overall University Experience [Your Overall academic experience]","Overall University Experience [Would you recommend this University to others including ]","Suggestions, if any:"
"2022/04/12 4:12:56 PM GMT+5:30","Masters","Science","Chemistry ","IV","PG/Rented","Female","EWS","Average","Below Average","Average","Average","Below Average","Below Average","Average","Below Average","Below Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Very Good","Average","Average","Average","Average","Average","Below Average","Below Average","Average","Good","Good","Good","Excellent","Average","Average","Average","Average","Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Averge","Below Average","Below Average","Below Average","Below Average","Average","Average","There is no student -teacher relationship present !"
"2022/04/12 4:16:13 PM GMT+5:30","Masters","Science","Chemistry ","I","PG/Rented;Other","Male","OBC","Good","Below Average","Below Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Below Average","Below Average","Good","Average","Average","Average","Average","Below Average","Below Average","Average","Good","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Average","No"
"2022/04/12 4:17:43 PM GMT+5:30","Masters","Science","Statistics","IV","PG/Rented","Male","General","Average","Below Average","Below Average","Average","Good","Average","Average","Average","Below Average","Below Average","Average","Below Average","Below Average","Average","Good","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Average","Below Average","Below Average","Good","Good","Average","Average","Below Average","Below Average","Average","Average","Average","Average","Average","Average","Excellent","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Below Average","Below Average","No"
"2022/04/12 4:18:12 PM GMT+5:30","UG","Education","CIE","II","Local","Female","SC","Good","Good","Average","Good","Good","Good","Good","Good","Good","Good","Average","Average","Average","Average","Average","Good","Good","Good","Average","Average","Average","Good","Average","Average","Average","Good","Good","Good","Average","Good","Average","Good","Good","Good","Good","Below Average","Average","Good","Good","Averge","Averge","Averge","Good","Good","Good","Good","Good","Good","Good","No"
"2022/04/12 4:25:39 PM GMT+5:30","Ph.D","Science","Department of Anthropology","I","PG/Rented","Female","OBC","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Average","Very Good","Very Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Very Good","Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Excellent","Excellent","None"
"2022/04/12 4:26:34 PM GMT+5:30","Masters","Science","Chemistry ","I","PG/Rented","Female","General","Good","Very Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Very Good","Good","Very Good","Good","Average","Average","Good","Good","Average","Good","Good","Good","Average","Good","Average","Below Average","Below Average","Average","Average","Average","Good","Average","Average","Average","Average","Average","Averge","Averge","Averge","Good","Averge","Good","Averge","Averge","Good","Averge","Very Good","Very Good","Offline classes in the upcoming  semesters "
"2022/04/12 4:30:07 PM GMT+5:30","Masters","Science","Department of chemistry","I","Other","Female","General","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Very Good","Very Good","Nil"
"2022/04/12 4:31:06 PM GMT+5:30","Masters","Science","chemistry","I","PG/Rented","Female","OBC","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Very Good","Excellent","Very Good","Excellent","Good","Good","Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","no"
"2022/04/12 4:46:00 PM GMT+5:30","Masters","Management Studies;Commerce","Department of commerce","IV","Local","Male","OBC","Very Good","Very Good","Good","Very Good","Very Good","Very Good","Not applicable","Very Good","Very Good","Not applicable","Very Good","Not applicable","Very Good","Not applicable","Good","Average","Average","Very Good","Very Good","Good","Good","Good","Below Average","Not applicable","Excellent","Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Good","Very Good","Very Good","Very Good","Very Good","Good","Very Good","Good","Excellent","Excellent","Excellent","Very Good","Excellent","Very Good","Excellent","Not at the moment."
"2022/04/12 4:47:28 PM GMT+5:30","Masters","Science","Department of Chemistry","IV","Local","Female","General","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Good","Good","Excellent","Excellent","Good","Good","Good","Good","Below Average","Good","Below Average","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Averge","Good","Good","Good","Very Good","Good","Good","Good","Good","Excellent","Please build more hostels to accommodate all outstation student in Our University .Thankyou"
"2022/04/12 4:49:54 PM GMT+5:30","UG","Education","CENTRAL INSTITUTE OF EDUCATION ","II","PG/Rented","Male","General","Good","Good","Average","Good","Very Good","Good","Good","Very Good","Good","Don't know","Excellent","Don't know","Very Good","Don't know","Don't know","Not applicable","Below Average","Good","Very Good","Good","Very Good","Very Good","Good","Don't know","Average","Average","Very Good","Average","Good","Good","Don't Know","Don't Know","Don't Know","Don't Know","Good","Don't Know","Don't Know","Very Good","Good","Don't Know","Very Good","Good","Very Good","Good","Good","Very Good","Very Good","Good","Good","Water cooler facilities should be better in college and administrative department should be take care of students problem , they don't ask to students where students face problems in department in academic or learning facilities. Some teaching staff r strict, they even don't care students problems, i think they should understand students background n their learning criteria. Language issue is one of the problems dt some students face, i think reading material should be available in well organized manner in Hindi as well as english both in library... "
"2022/04/12 4:52:30 PM GMT+5:30","Masters","Mathematical Sciences","Department of Computer Science","VI","Local","Female","General","Good","Good","Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Not applicable","Not applicable","Not applicable","Very Good","Very Good","Average","Average","Average","Average","Very Good","Excellent","Good","Good","Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","Very Good","NA"
"2022/04/12 4:53:54 PM GMT+5:30","Masters","Science","Department of Chemistry","I","Other","Male","OBC","Good","Average","Below Average","Good","Good","Good","Good","Good","Good","Don't know","Good","Average","Below Average","Below Average","Below Average","Good","Below Average","Don't know","Don't know","Not applicable","Excellent","Average","Not applicable","Not applicable","Good","Good","Good","Good","Good","Good","Don't Know","Don't Know","Good","Not  Applicable","Don't Know","Below Average","Below Average","Good","Good","Averge","Good","Good","Good","Good","Good","Good","Good","Very Good","Don't Know","No"
"2022/04/12 4:56:02 PM GMT+5:30","Masters","Science","Department of Chemistry","I","PG/Rented","Female","OBC","Excellent","Good","Good","Very Good","Very Good","Good","Good","Average","Good","Don't know","Very Good","Good","Don't know","Average","Average","Average","Don't know","Average","Don't know","Very Good","Very Good","Very Good","Don't know","Don't know","Below Average","Average","Very Good","Good","Good","Good","Very Good","Good","Good","Average","Average","Below Average","Below Average","Good","Very Good","Good","Very Good","Good","Good","Very Good","Good","Good","Good","Very Good","Very Good","There's no drinking water facility in the department. I don't know about other departments. And also there is not so much guidance from the professors for research projects."
"2022/04/12 5:00:03 PM GMT+5:30","Masters","Science","Chemistry ","I","PG/Rented","Male","OBC","Average","Average","Below Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Average","Below Average","Don't know","Don't know","Below Average","Don't know","Below Average","Below Average","Don't know","Don't know","Don't know","Don't know","Below Average","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Don't Know","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Below Average","Below Average","Need to Improve teachers "
"2022/04/12 5:06:32 PM GMT+5:30","UG","Education","Central Institute of Education ","I;II","Local","Female","SC","Excellent","Excellent","Excellent","Very Good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Don't know","Excellent","Very Good","Very Good","Excellent","Very Good","Very Good","Good","Very Good","Excellent","Excellent","Very Good","Don't know","Good","Very Good","Excellent","Excellent","Very Good","Very Good","Don't Know","Don't Know","Don't Know","Very Good","Don't Know","Don't Know","Don't Know","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Don't Know","Not now. "
"2022/04/12 5:07:48 PM GMT+5:30","Masters","Science","Department of Chemistry","IV","Local","Male","OBC","Average","Average","Good","Average","Below Average","Below Average","Good","Good","Good","Below Average","Average","Not applicable","Below Average","Average","Below Average","Below Average","Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Not applicable","Below Average","Average","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Average","Good","Below Average","Below Average","Below Average","Averge","Averge","Below Average","Averge","Below Average","Averge","Averge","Averge","Averge","Averge","Good","Good","University can organise career mela to make aware the students about opportunities, and opportunities in their respective fields.
In addition to this, university can also provide communication skill improvement tutorial to those students, who come from deprived areas."
